Temperature_num;Cobertura_media;Escore_media;Gerados_medios;Mortos_medios;Total_mutantes;N_registros
0.0;46.56521739130435;32.2463768115942;26.463768115942027;24.594202898550726;84.26086956521739;69
0.1;89.83783783783784;61.32432432432432;25.594594594594593;42.54054054054054;82.43243243243244;37
0.2;88.0;63.0;26.405405405405407;45.08108108108108;86.16216216216216;37
0.3;89.15789473684211;64.0;25.55263157894737;44.6578947368421;82.92105263157895;38
0.4;89.33333333333333;66.0;23.487179487179485;40.92307692307692;76.58974358974359;39
0.5;90.4;67.25714285714285;23.17142857142857;40.22857142857143;75.08571428571429;35
0.6;87.40384615384616;68.21153846153847;21.596153846153847;37.65384615384615;69.26923076923077;52
0.7;89.77777777777777;66.86111111111111;19.944444444444443;35.77777777777778;65.27777777777777;36
0.8;89.77777777777777;68.53333333333333;23.133333333333333;39.68888888888889;73.2;45
0.9;81.76190476190476;62.19047619047619;23.904761904761905;37.833333333333336;76.92857142857143;42
1.0;83.19047619047619;66.19047619047619;22.11904761904762;36.476190476190474;69.66666666666667;42
